Player Passing 2024-2025 Big 5 European Leagues (per 90),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,Expected,,,,,,,
856,Dario Essugo,pt POR,MF,Las Palmas,es La Liga,19,2005,21.5,37.8,44.2,85.4,650.9,183.1,17.1,19.3,88.7,16.5,18.4,89.4,3.4,4.84,70.2,0,0.02,0.03,-0.02,0.6,3.4,0.37,0,3.53,Matches
857,Estanis,es ESP,FW,Bologna,it Serie A,20,2003,0.1,70,80,87.5,840,60,50,50,100,20,20,100,0,0,,0,2,2,-2,20,0,0,0,0,Matches
858,Nahuel Estévez,ar ARG,MF,Parma,it Serie A,28,1995,7.3,32.5,42.9,75.7,578.2,184.2,13.2,15.2,86.5,15.6,19,82,3.29,6.58,50,0,0.11,0.07,-0.11,0.82,3.56,0.14,0,4.11,Matches
859,Pervis Estupiñán,ec ECU,DF,Brighton,eng Premier League,26,1998,26.7,50.1,60.3,83.1,762.1,234.5,29.3,31.4,93.2,16.9,20.2,83.5,2.77,5.92,46.8,0.04,0.08,0.09,-0.04,0.97,3.93,1.27,0.67,4.94,Matches
860,Etienne Eto'o,cm CMR,FW,Rayo Vallecano,es La Liga,21,2002,0.4,2.5,12.5,20,25,7.5,2.5,5,50,0,2.5,0,0,0,,0,0,0.25,0,0,0,0,0,0,Matches
861,Karl Etta,cm CMR,"MF,FW",Villarreal,es La Liga,20,2003,0.4,0,2.5,0,0,0,0,2.5,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
862,Evanilson,br BRA,FW,Bournemouth,eng Premier League,24,1999,25.8,9.46,13.3,71.3,117.8,24.1,5.97,7.83,76.2,2.09,2.79,75,0.43,0.62,68.8,0.04,0.07,0.07,-0.03,1.01,0.54,0.23,0,1.09,Matches
863,Jake Evans,,FW,Leicester City,eng Premier League,,,0.3,6.67,10,66.7,80,30,3.33,3.33,100,3.33,6.67,50,0,0,,0,0,0,0,0,3.33,0,0,0,Matches
864,Jonny Evans,nir NIR,DF,Manchester Utd,eng Premier League,36,1988,3.5,54.9,62,88.5,882.9,258.9,25.7,27.1,94.7,25.4,28.6,89,2,4,50,0,0,0,0,0,2.86,0.29,0,2.86,Matches
865,Edu Expósito,es ESP,MF,Espanyol,es La Liga,27,1996,11.6,27.4,41.8,65.6,516.4,197.2,10.9,12.8,85.8,10.9,15.3,71.2,4.31,10.3,42,0.17,0.28,0.21,-0.1,2.41,3.1,1.21,0.34,5.52,Matches
866,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,eng Premier League,26,1998,28.8,27,36.4,74.2,459.1,122.9,13.2,15.6,84.6,10.4,12.7,81.9,2.67,5.83,45.8,0.28,0.22,0.16,0.06,2.01,1.7,1.35,0.14,3.37,Matches
867,Abde Ezzalzouli,ma MAR,"FW,MF",Betis,es La Liga,22,2001,22,24.6,34.4,71.6,304.3,87.6,17,20.6,82.2,5.95,8.68,68.6,0.5,1.68,29.7,0.09,0.09,0.1,0,1.23,1.91,0.86,0.09,3.09,Matches
868,Giovanni Fabbian,it ITA,MF,Bologna,it Serie A,21,2003,11.4,13.2,18.4,71.9,191.4,32.4,7.98,10,79.8,4.47,5.61,79.7,0.44,1.32,33.3,0.09,0.11,0.05,-0.03,0.79,1.32,0.44,0.09,1.49,Matches
869,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,39,1985,12.9,25.7,38.4,67.1,743.1,527.8,4.57,4.57,100,12.3,12.4,99.4,8.84,21.3,41.5,0,0,0,0,0,0.39,0,0,0,Matches
870,Alieu Fadera,gm GAM,"FW,DF",Como,it Serie A,22,2001,18.3,24.1,32.3,74.6,340.6,89.5,13.7,15.6,87.8,7.7,10.5,73.1,1.26,2.3,54.8,0.16,0.22,0.1,-0.05,1.26,0.77,1.31,0.27,1.97,Matches
871,Wout Faes,be BEL,DF,Leicester City,eng Premier League,26,1998,31.3,44,50,88,810.5,288,17.2,18.2,94.4,23.1,24.4,94.9,3.51,6.52,53.9,0,0,0.01,0,0.13,2.65,0.19,0,2.75,Matches
872,Nicolò Fagioli,it ITA,MF,Fiorentina,it Serie A,23,2001,10.7,48.5,57.7,84.1,835.9,233.9,22.5,24.5,92,19.8,22.3,88.7,4.67,8.13,57.5,0.19,0.28,0.19,-0.09,2.15,4.21,1.12,0.19,4.67,Matches
873,Nicolò Fagioli,it ITA,MF,Juventus,it Serie A,23,2001,6.3,58.7,66.3,88.5,1009.5,191,26.7,28.9,92.3,26.7,28.9,92.3,4.29,6.83,62.8,0,0.02,0.08,-0.02,0.63,5.71,1.27,0,6.51,Matches
874,Romain Faivre,fr FRA,"MF,FW",Brest,fr Ligue 1,26,1998,10,31.1,37.9,82.1,458.7,120.9,18.4,20.8,88.5,9.8,11.8,83.1,1.7,2.9,58.6,0.2,0.19,0.18,0.01,1,3.4,0.8,0.1,4.4,Matches
875,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,29,1995,38,19.2,31.6,60.9,595.9,466.2,2.95,3,98.2,8.79,8.95,98.2,7.39,19.4,38.2,0,0,0,0,0,0.58,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
876,Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,32,1991,2.9,22.4,32.8,68.4,364.1,133.4,11.7,13.4,87.2,7.93,13.1,60.5,2.07,4.48,46.2,0,0.03,0.03,-0.03,0.69,2.07,1.03,1.03,1.03,Matches
877,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,eng Premier League,20,2004,6.4,19.2,30.8,62.4,335.9,93.9,9.22,12.7,72.8,7.03,9.22,76.3,2.5,5.16,48.5,0.31,0.25,0.22,0.06,0.94,1.09,1.09,0.31,2.66,Matches
878,Ansu Fati,es ESP,FW,Barcelona,es La Liga,21,2002,2.6,40,48.1,83.2,423.1,54.6,29.2,31.9,91.6,6.92,8.85,78.3,0.38,1.15,33.3,0,0.08,0.15,-0.08,1.54,1.15,1.92,0,2.31,Matches
879,Khalil Fayad,fr FRA,"MF,FW",Montpellier,fr Ligue 1,20,2004,11.4,37.4,45.1,82.9,629.2,154.1,18,19.8,90.7,14.8,17.2,86.2,3.33,5.26,63.3,0,0.03,0.05,-0.03,0.61,3.07,0.44,0.18,4.39,Matches
880,Jacopo Fazzini,it ITA,MF,Empoli,it Serie A,21,2003,15.4,19.8,27.7,71.6,296,83.2,10.5,12.1,86.6,7.27,9.61,75.7,0.91,2.6,35,0.06,0.03,0.05,0.03,0.78,1.75,0.65,0,3.18,Matches
881,Nabil Fekir,fr FRA,MF,Betis,es La Liga,31,1993,2,33.5,41,81.7,526,190.5,19,21.5,88.4,10,11.5,87,3,5,60,0.5,0.25,0.4,0.25,3,2.5,3,1,5,Matches
882,Mattia Felici,it ITA,"MF,FW",Cagliari,it Serie A,23,2001,10.3,18.3,26.9,67.9,245.1,83.8,12.1,15.6,77.6,5.05,6.7,75.4,0.58,1.46,40,0.29,0.1,0.07,0.19,0.97,1.17,0.29,0,1.84,Matches
883,Luiz Felipe,it ITA,DF,Marseille,fr Ligue 1,27,1997,1.4,41.4,47.1,87.9,653.6,221.4,20,20.7,96.6,19.3,22.1,87.1,0.71,1.43,50,0,0,0,0,0,3.57,0,0,2.86,Matches
884,João Félix,pt POR,"FW,MF",Chelsea,eng Premier League,24,1999,4.1,41.7,48.5,85.9,631.2,161.7,23.2,25.6,90.5,15.1,16.6,91.2,2.44,3.66,66.7,0.24,0.24,0.12,0,1.46,5.37,1.95,0,6.34,Matches
885,João Félix,pt POR,MF,Milan,it Serie A,24,1999,8.4,29.3,35.8,81.7,436.1,133.8,18.3,20.7,88.5,8.45,9.88,85.5,1.9,3.21,59.3,0,0.14,0.15,-0.14,1.19,3.69,1.31,0,4.76,Matches
886,Frank Feller,de GER,GK,Heidenheim,de Bundesliga,20,2004,1.3,31.5,50,63.1,1029.2,755.4,3.85,3.85,100,14.6,14.6,100,13.1,31.5,41.5,0,0,0,0,0,0,0,0,0,Matches
887,Kiko Femenía,es ESP,DF,Villarreal,es La Liga,33,1991,24.7,54.2,61,88.9,893.8,292.7,27.5,29,94.7,22.8,25.3,90.1,3.32,5.1,65.1,0.04,0.05,0.09,-0.01,0.65,4.37,0.97,0.57,4.53,Matches
888,Evan Ferguson,ie IRL,FW,West Ham,eng Premier League,19,2004,1.7,16.5,21.8,75.7,220.6,12.4,12.4,15.3,80.8,2.94,4.12,71.4,0.59,1.18,50,0,0.18,0.18,-0.18,1.18,0.59,0,0,0.59,Matches
889,Evan Ferguson,ie IRL,FW,Brighton,eng Premier League,19,2004,2.7,15.9,21.5,74.1,179.3,16.3,11.5,13.3,86.1,2.96,4.07,72.7,0.37,1.48,25,0,0.15,0.15,-0.15,1.11,0.37,0,0,0.37,Matches
890,Lewis Ferguson,sct SCO,MF,Bologna,it Serie A,24,1999,10.9,52.2,60.4,86.5,910.8,206.1,22.6,24.7,91.4,24.6,27,91.2,3.94,6.06,65.2,0.09,0.1,0.07,-0.01,1.28,5.23,0.73,0,4.86,Matches
891,Zinedine Ferhat,dz ALG,"FW,MF",Angers,fr Ligue 1,31,1993,9.4,32.2,48,67.2,538.2,174.9,16.3,19.9,81.8,10.7,15.9,67.8,3.72,8.09,46.1,0,0.26,0.22,-0.26,1.81,2.55,1.38,0.32,4.26,Matches
892,Bruno Fernandes,pt POR,MF,Manchester Utd,eng Premier League,29,1994,33.5,51,66.9,76.1,911.7,319.3,23.9,27.4,87.3,18.8,23,81.8,6.66,12.1,55.1,0.3,0.25,0.24,0.04,2.72,6.39,2.54,0.33,9.7,Matches
893,Edimilson Fernandes,ch SUI,"MF,DF",Brest,fr Ligue 1,28,1996,12.3,39.5,46.5,85,728.5,188.5,16.5,18.1,91,18,20.1,89.5,4.39,6.59,66.7,0.08,0.05,0.05,0.03,0.65,3.25,0.24,0,3.25,Matches
894,Mateus Fernandes,pt POR,MF,Southampton,eng Premier League,20,2004,32.3,33.7,42.1,79.9,569.8,135.3,15.8,18,87.9,12.8,15,85.9,3.41,6.07,56.1,0.12,0.09,0.11,0.03,1.05,3.03,0.84,0.19,4.49,Matches
895,Aitor Fernández,es ESP,GK,Osasuna,es La Liga,33,1991,1,29,45,64.4,1243,1147,0,0,,10,10,100,19,35,54.3,0,0,0,0,0,1,0,0,0,Matches
896,Álvaro Fernández,es ESP,GK,Sevilla,es La Liga,26,1998,8.3,25.5,39,65.4,666,465.7,6.02,6.02,100,12.9,13,99.1,6.63,19.9,33.3,0,0.01,0,-0.01,0.12,0.72,0,0,0,Matches
897,Enzo Fernández,ar ARG,MF,Chelsea,eng Premier League,23,2001,32.7,46.4,58.1,79.9,818.8,229.7,21.4,24.1,88.7,19.1,22.5,84.9,4.8,8.35,57.5,0.21,0.21,0.19,0.01,2.35,5.11,1.25,0.21,6.48,Matches
898,Pelayo Fernandez,es ESP,DF,Rayo Vallecano,es La Liga,21,2003,1.1,21.8,25.5,85.7,432.7,163.6,10.9,11.8,92.3,7.27,9.09,80,3.64,3.64,100,0,0,0,0,0,0.91,0,0,0.91,Matches
899,Roberto Férnandez,es ESP,FW,Espanyol,es La Liga,22,2002,16.6,11.3,15.6,72.2,134.2,18.7,7.29,8.8,82.9,2.47,3.92,63.1,0.24,0.24,100,0,0.04,0.03,-0.04,0.48,0.54,0.42,0,1.02,Matches
900,Valery Fernández,es ESP,"MF,FW",Mallorca,es La Liga,24,1999,3.4,25.9,29.1,88.9,335.6,62.1,16.5,18.8,87.5,6.76,7.35,92,0.88,0.88,100,0,0,0.03,0,0.29,1.18,0.59,0.29,1.47,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
901,Matias Fernandez-Pardo,be BEL,"FW,MF",Lille,fr Ligue 1,19,2005,11.8,19,26,73,292.9,62.1,9.92,12.4,80.1,7.2,8.73,82.5,1.1,2.12,52,0.17,0.24,0.16,-0.07,1.36,0.85,0.93,0,2.2,Matches
902,André Ferreira,pt POR,GK,Valladolid,es La Liga,28,1996,6,23,32.5,70.8,664,497.5,3.17,3.17,100,12.8,12.8,100,7,16.3,42.9,0,0,0,0,0,0.17,0,0,0,Matches
903,Jordan Ferri,fr FRA,MF,Montpellier,fr Ligue 1,32,1992,19.7,56.8,64.3,88.3,1012.3,256.3,24.1,26.1,92,25.6,27.7,92.5,5.58,7.92,70.5,0.1,0.05,0.07,0.06,0.66,6.04,0.56,0.2,6.95,Matches
904,Daniel Fila,cz CZE,FW,Venezia,it Serie A,21,2002,5.5,12.7,16.4,77.8,160.7,25.5,6.55,8.55,76.6,3.27,4.18,78.3,0.73,1.09,66.7,0,0.05,0.07,-0.05,1.09,0.73,0.55,0,1.45,Matches
905,Karol Fila,pl POL,MF,Strasbourg,fr Ligue 1,26,1998,0.1,20,40,50,180,0,10,10,100,0,0,,0,10,0,0,0,0,0,0,0,0,0,0,Matches
906,Kilian Fischer,de GER,DF,Wolfsburg,de Bundesliga,23,2000,25.5,38.3,48.7,78.6,670.2,218.6,17.3,20,86.7,17.3,21.2,81.7,3.14,5.25,59.7,0,0.02,0.04,-0.02,0.47,2.86,0.78,0.12,4.31,Matches
907,Mark Flekken,nl NED,GK,Brentford,eng Premier League,31,1993,36.4,34.5,47.2,73,1016.5,695.3,4.23,4.31,98.1,18.6,19.1,97.6,11.6,23.6,49.2,0.05,0.01,0,0.04,0.08,1.37,0.05,0,0,Matches
908,Alessandro Florenzi,it ITA,FW,Milan,it Serie A,33,1991,0.1,30,40,75,540,430,10,10,100,20,20,100,0,10,0,0,0,0,0,0,0,0,0,0,Matches
909,Mateo Flores,es ESP,MF,Betis,es La Liga,20,2004,1.7,32.9,40.6,81.2,561.8,165.9,14.7,17.6,83.3,16.5,18.8,87.5,1.76,2.94,60,0,0,0.06,0,0,1.76,0.59,0.59,5.29,Matches
910,Phil Foden,eng ENG,"MF,FW",Manchester City,eng Premier League,24,2000,19.7,40.2,47.8,84.1,628.7,132.7,23.8,26.2,90.9,12.3,13.8,89.3,3.4,5.69,59.8,0.1,0.24,0.27,-0.14,2.18,2.08,1.98,0.3,5.23,Matches
911,Malick Fofana,be BEL,FW,Lyon,fr Ligue 1,19,2005,17.7,27.9,36,77.4,380.6,77.6,18.2,20.7,88,7.63,9.89,77.1,0.96,2.09,45.9,0.23,0.21,0.25,0.02,1.41,1.13,1.81,0.73,2.54,Matches
912,Rayan Fofana,fr FRA,"FW,MF",Lens,fr Ligue 1,18,2006,0.3,16.7,26.7,62.5,196.7,0,10,10,100,3.33,6.67,50,0,0,,0,0,0,0,0,0,0,0,0,Matches
913,Seko Fofana,ci CIV,MF,Rennes,fr Ligue 1,29,1995,9.4,53.1,58.7,90.4,797.7,187.1,29.9,32,93.4,19.3,20.6,93.3,2.13,2.77,76.9,0.11,0.13,0.11,-0.02,1.38,4.04,1.38,0.21,7.66,Matches
914,Wesley Fofana,fr FRA,DF,Chelsea,eng Premier League,23,2000,13,55.7,61.8,90.2,943.2,262.7,23.5,25.1,93.9,29.6,32,92.5,2,3.23,61.9,0,0.03,0.02,-0.03,0.46,4.15,0.08,0,2.46,Matches
915,Yahia Fofana,ci CIV,GK,Angers,fr Ligue 1,23,2000,33,21.1,30.7,68.7,613.9,430.7,2.82,2.82,100,10.9,11.1,98.4,7.33,16.7,44,0,0,0,0,0.03,0.33,0,0,0,Matches
916,Youssouf Fofana,fr FRA,MF,Milan,it Serie A,25,1999,27.8,44.5,51.9,85.7,774.5,259.9,19.4,21.9,88.2,21.4,23.6,90.7,3.17,5.25,60.3,0.22,0.12,0.09,0.09,0.83,5.04,0.83,0.07,6.33,Matches
917,Jonas Föhrenbach,de GER,DF,Heidenheim,de Bundesliga,28,1996,20.4,32.3,44.6,72.5,589.6,258,13.1,15.4,85.1,14.9,18.8,79.1,3.48,7.55,46.1,0.05,0.06,0.1,-0.01,0.69,3.04,0.74,0.54,2.89,Matches
918,Michael Folorunsho,it ITA,"FW,MF",Fiorentina,it Serie A,26,1998,7.2,24.7,35,70.6,388.3,109.2,11.5,13.5,85.6,9.72,13.2,73.7,2.08,4.17,50,0,0.08,0.07,-0.08,0.42,1.81,0.83,0.28,2.92,Matches
919,Michael Folorunsho,it ITA,"FW,MF",Napoli,it Serie A,26,1998,0.4,25,35,71.4,335,97.5,12.5,17.5,71.4,10,10,100,0,0,,0,0,0,0,0,0,0,0,0,Matches
920,Lamine Fomba,fr FRA,MF,Saint-Étienne,fr Ligue 1,26,1998,2.4,50.4,60.4,83.4,835.8,256.3,25.8,28.8,89.9,19.2,22.5,85.2,4.17,6.25,66.7,0,0.13,0.04,-0.13,0.42,5.83,0.83,0,7.5,Matches
921,Carlos Forbs,pt POR,"MF,FW",Wolves,eng Premier League,20,2004,2.7,22.2,33.7,65.9,291.9,84.4,14.4,18.9,76.5,7.04,9.63,73.1,0.37,1.85,20,0,0,0.04,0,0.37,0.74,1.11,0.37,2.96,Matches
922,Pablo Fornals,es ESP,"MF,FW",Betis,es La Liga,28,1996,20.3,43.7,54.6,80,710.7,245.6,22.3,25.2,88.3,16.4,20.5,79.9,3.55,5.52,64.3,0,0.16,0.14,-0.16,1.77,4.58,1.63,0.39,7.19,Matches
923,Omari Forson,eng ENG,"MF,FW",Monza,it Serie A,20,2004,2.5,36.8,45.2,81.4,543.6,124.8,19.2,20.4,94.1,14,15.6,89.7,2,4,50,0,0.2,0.12,-0.2,3.2,2.8,2.4,0.8,4,Matches
924,Fraser Forster,eng ENG,GK,Tottenham,eng Premier League,36,1988,7,24,28.3,84.8,478.4,300.7,7.71,7.86,98.2,12.3,12.9,95.6,3.29,6.71,48.9,0,0,0,0,0,0.14,0,0,0,Matches
925,Héctor Fort,es ESP,DF,Barcelona,es La Liga,17,2006,6.5,68.9,76.5,90.1,957.2,225.2,39.7,41.8,94.9,22.2,24.8,89.4,2.31,2.77,83.3,0,0.14,0.2,-0.14,1.54,4.15,0.46,0,4,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
926,Dimitri Foulquier,fr FRA,DF,Valencia,es La Liga,31,1993,25.5,39.5,50,78.9,619.2,231.9,21.7,23.2,93.6,15.5,19.6,79.4,1.8,4.55,39.7,0.04,0.05,0.08,-0.02,0.39,3.02,0.59,0.24,3.8,Matches
927,Juan Foyth,ar ARG,DF,Villarreal,es La Liga,26,1998,16.9,49.6,57,87,938.5,386,17.7,18.9,93.4,25.8,28.2,91.6,5.21,8.22,63.3,0,0.02,0.05,-0.02,0.41,3.14,0.47,0.12,3.85,Matches
928,Fran,es ESP,GK,Real Madrid,es La Liga,19,2005,1,19,20,95,386,262,7,7,100,8,8,100,4,5,80,0,0,0,0,0,0,0,0,0,Matches
929,Matheus França,br BRA,"MF,FW",Crystal Palace,eng Premier League,20,2004,0.6,16.7,28.3,58.8,258.3,125,10,11.7,85.7,6.67,10,66.7,0,0,,0,0,0.33,0,0,1.67,0,0,5,Matches
930,Alejandro Francés,es ESP,DF,Girona,es La Liga,21,2002,13,52.7,62.5,84.3,981.2,291.7,20.8,23,90.6,26.2,27.9,93.7,5.38,9.23,58.3,0,0.02,0.04,-0.02,0.31,5.31,0.46,0.23,4.85,Matches
931,Przemysław Frankowski,pl POL,DF,Lens,fr Ligue 1,29,1995,15.4,56.8,70.9,80.1,875.9,354.9,31.1,35.3,88.2,20.7,24.3,85.3,3.12,6.23,50,0.13,0.16,0.19,-0.03,1.3,5.84,2.34,0.65,7.6,Matches
932,Enric Franquesa,es ESP,"DF,FW",Leganés,es La Liga,27,1997,6.8,23.2,33.1,70.2,369.6,147.6,10.4,12.9,80.7,10.1,13.7,74.2,1.62,3.82,42.3,0,0.01,0.01,-0.01,0.29,0.74,0.29,0.29,1.76,Matches
933,Ryan Fraser,sct SCO,"FW,DF",Southampton,eng Premier League,30,1994,3.4,22.6,30.3,74.8,329.7,61.2,12.6,13.5,93.5,8.24,11.8,70,0.88,2.94,30,0,0.03,0.03,-0.03,0.59,0.88,0.29,0,2.35,Matches
934,Davide Frattesi,it ITA,MF,Inter,it Serie A,24,1999,13.6,21.8,26.5,82.5,316.5,64.7,12.8,14.2,90.2,7.72,9.19,84,0.96,1.18,81.3,0.07,0.06,0.06,0.01,0.51,1.47,0.37,0.07,2.28,Matches
935,Tyler Fredricson,eng ENG,DF,Manchester Utd,eng Premier League,19,2005,1.8,61.1,67.8,90.2,1073.3,241.1,26.1,27.8,94,30,32.8,91.5,4.44,5,88.9,0,0,0,0,0,4.44,0,0,4.44,Matches
936,Morten Frendrup,dk DEN,MF,Genoa,it Serie A,23,2001,34.5,30.9,36.2,85.4,465.6,95.5,16.3,18,90.5,12.3,13.9,88.6,1.16,1.88,61.5,0,0.03,0.02,-0.03,0.41,2.29,0.32,0,3.07,Matches
937,Martin Frese,dk DEN,DF,Hellas Verona,it Serie A,26,1998,6.1,29.8,42,71.1,494.8,189.3,14.9,16.1,92.9,10.8,15.1,71.7,2.95,8.52,34.6,0,0.03,0.03,-0.03,0.82,2.3,0.66,0,3.11,Matches
938,Remo Freuler,ch SUI,MF,Bologna,it Serie A,32,1992,35.6,47.9,54.6,87.7,806.2,206.2,21.5,23.3,92.4,22.1,24.3,91,3.17,4.92,64.6,0.06,0.04,0.04,0.01,1.01,5.73,0.67,0.11,5.84,Matches
939,Marco Friedl,at AUT,DF,Werder Bremen,de Bundesliga,26,1998,24,55.2,61.2,90.2,1148.6,401,13.8,14.7,93.8,33.8,35.3,95.5,7.13,9.96,71.5,0,0.01,0.02,-0.01,0.13,2.63,0.21,0.04,2.88,Matches
940,Marvin Friedrich,de GER,DF,Gladbach,de Bundesliga,28,1995,11,56.7,64.2,88.4,991.5,341.8,23.1,24.4,94.8,29.6,31.1,95.3,3.45,7.27,47.5,0.09,0.05,0.05,0.04,0.27,2.09,0.09,0,3.27,Matches
941,Jeremie Frimpong,nl NED,"DF,MF",Leverkusen,de Bundesliga,23,2000,25.7,27.8,36.6,76.1,410.3,86.5,15.7,17.8,88.4,10,12.9,77.6,1.17,3.04,38.5,0.19,0.16,0.18,0.03,1.17,1.09,1.13,0.7,2.14,Matches
942,Jorge de Frutos,es ESP,"FW,MF",Rayo Vallecano,es La Liga,27,1997,27.7,16.4,24,68.3,228.6,57.8,10.2,12.6,81,4.58,6.75,67.9,0.79,1.7,46.8,0.11,0.12,0.08,-0.01,1.12,0.79,1.01,0.47,1.59,Matches
943,Darío Fuentes,es ESP,DF,Sevilla,es La Liga,21,2003,0.1,0,20,0,0,0,0,0,,0,20,0,0,0,,0,0,0,0,0,0,0,0,0,Matches
944,Chris Führich,de GER,"MF,FW",Stuttgart,de Bundesliga,26,1998,22,36.7,45.6,80.5,516.6,148.5,22.7,25.2,90.3,10.8,13.7,78.8,1.86,3.64,51.3,0.14,0.17,0.27,-0.03,1.45,1.77,2.32,0.59,4.32,Matches
945,Shiō Fukuda,jp JPN,FW,Gladbach,de Bundesliga,20,2004,0.7,7.14,14.3,50,70,18.6,5.71,8.57,66.7,1.43,1.43,100,0,1.43,0,0,0,0,0,0,0,0,0,1.43,Matches
946,Angelo Fulgini,fr FRA,"MF,FW",Lens,fr Ligue 1,27,1996,11.6,43.9,56.2,78.1,637.3,171.8,24.4,28,87.1,13.5,16.9,80.1,2.93,6.03,48.6,0.09,0.33,0.33,-0.24,2.41,2.67,2.33,0.69,5.95,Matches
947,Niclas Füllkrug,de GER,FW,West Ham,eng Premier League,31,1993,8.8,15.1,22.5,67.2,210.5,35.7,9.43,12.3,76.9,3.98,6.59,60.3,0.8,1.48,53.8,0.23,0.22,0.05,0.01,1.59,1.36,0.57,0,1.59,Matches
948,Kyogo Furuhashi,jp JPN,FW,Rennes,fr Ligue 1,29,1995,1.4,2.14,7.86,27.3,30.7,0,0.71,5,14.3,0.71,1.43,50,0,0,,0,0,0,0,0,0,0,0,0,Matches
949,Manuel Fuster,es ESP,"FW,MF",Las Palmas,es La Liga,26,1997,11.1,43.1,56.2,76.6,725.7,207.2,22.1,25,88.4,13.7,17.5,78.4,5.41,9.64,56.1,0.09,0.16,0.16,-0.07,2.52,5.05,2.16,0.45,6.4,Matches
950,Matteo Gabbia,it ITA,DF,Milan,it Serie A,24,1999,23.9,55.1,60.4,91.2,1121.8,323.5,14.5,15.3,94.5,34.6,35.9,96.2,5.69,7.99,71.2,0,0.01,0.01,-0.01,0.08,3.43,0.13,0.04,3.1,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
951,Tommaso Gabellini,it ITA,FW,Torino,it Serie A,17,2006,0.1,10,30,33.3,70,20,10,10,100,0,10,0,0,0,,0,0,0,0,0,0,0,0,0,Matches
952,Tiago Gabriel,pt POR,DF,Lecce,it Serie A,19,2004,1.1,31.8,36.4,87.5,677.3,246.4,6.36,8.18,77.8,20,20.9,95.7,5.45,6.36,85.7,0,0,0,0,0,2.73,0.91,0,0.91,Matches
953,Alessandro Gabrielloni,it ITA,"FW,MF",Como,it Serie A,30,1994,1.6,17.5,30.6,57.1,274.4,64.4,8.13,12.5,65,9.38,10.6,88.2,0,1.25,0,0.63,0.5,0.13,0.13,2.5,1.88,0.63,0,3.75,Matches
954,Gianluca Gaetano,it ITA,"MF,FW",Cagliari,it Serie A,24,2000,11.2,23,31.9,72.3,376.7,105.5,12.2,15.4,79.7,7.23,10.1,71.7,2.77,4.11,67.4,0.36,0.2,0.21,0.16,1.96,2.41,1.16,0,3.66,Matches
955,Roberto Gagliardini,it ITA,"MF,DF",Monza,it Serie A,30,1994,2,53.5,62,86.3,926,224.5,26.5,28,94.6,21.5,23,93.5,4.5,9,50,0,0.1,0,-0.1,0.5,6,0,0,5.5,Matches
956,Cody Gakpo,nl NED,FW,Liverpool,eng Premier League,25,1999,21.5,22.3,29.5,75.7,319.5,77,13.9,16,86.9,6.93,10.5,66.2,0.88,1.67,52.8,0.19,0.2,0.18,-0.02,1.77,1.12,1.26,0.37,2.42,Matches
957,Javi Galán,es ESP,DF,Atlético Madrid,es La Liga,29,1994,19.8,43,51.9,82.9,637,188.8,25.8,27.8,92.7,13.3,16.6,80.2,2.73,4.39,62.1,0.15,0.2,0.16,-0.05,0.76,2.22,1.11,0.71,2.73,Matches
958,Iñigo Ruiz de Galarreta,es ESP,MF,Athletic Club,es La Liga,30,1993,16.4,41.6,51.5,80.9,778.8,228.6,15.7,18.1,86.5,21.3,23.5,90.6,4.09,7.26,56.3,0.24,0.18,0.16,0.07,1.71,6.16,1.52,0.18,8.35,Matches
959,Conor Gallagher,eng ENG,MF,Atlético Madrid,es La Liga,24,2000,18.1,39.4,46.4,85,546.1,120.2,24.2,26.4,91.8,12.1,14.1,85.9,1.44,2.49,57.8,0.17,0.07,0.06,0.1,0.66,2.6,0.77,0.06,3.54,Matches
